PID,new_ranking,difference,new_place,name
06115,100.0,0,1,Radosław Szopiński
04349,99.47,0,2,Ryszard Łasowski
04153,98.78,+3,3,Ireneusz Iwanow
07906,98.69,+3,5,Andrzej Parmonik
02116,98.69,+3,4,Andrzej Rękosiak
06137,98.01,-1,6,Marcin Wiliński
06116,98.01,-3,7,Radosław Szymczak
04063,97.88,+2,8,Andrzej Prasalski
02395,97.7,-6,9,Krzysztof Rogoziński
15352,97.2,+829,10,Michał Maszenda
02121,96.85,-2,11,Ryszard Sakowicz
07346,96.82,+1,12,Kazimierz Lichawski
02114,96.07,-1,13,Sebastian Rawlik
04077,95.91,-3,14,Mirosław Morchat
11800,95.58,0,15,Mariusz Krakowiak
05989,95.52,0,16,Jerzy Kullass
04014,95.35,+25,17,Piotr Wołowski
06338,95.24,-4,18,Aleksander Marciniak
11789,95.18,+5,19,Robert Kamiński
13003,95.02,-3,20,Mariusz Bielski
11899,94.98,+12,21,Dominik Głowacki
04731,94.97,+7,22,Sylwester Walerowicz
05084,94.9,+5,23,Tadeusz Kaczanowski
05519,94.83,+6,24,Marcin Woźniak
07902,94.61,-6,25,Damian Mazurak
12000,94.56,+29,27,Aleksandra Granowska
03374,94.56,+6,26,Bogusław Mojżesz
05548,94.47,-8,28,Janusz Zwierzyński
05446,94.36,-2,29,Marek Szukała
18785,94.36,+11,30,Paweł Sierakowski
03750,94.27,-9,31,Julian Jurski
10898,94.19,+6,32,Zbigniew Ehlert
04494,94.15,+4,33,Zenon Wawer
04402,94.15,+1,34,Ryszard Pichla
04404,94.14,+1,35,Wiesław Pietrzak
03853,94.13,-15,36,Jerzy Misiórski
01231,94.03,+48,37,Longin Bartnik
08297,94.02,-12,38,Leszek Pęcherzewski
03801,94.0,+29,39,Jerzy Kurzawski
01882,93.93,-1,40,Andrzej Skotniczny
12374,93.91,+18,41,Zdzisław Patreuha
04593,93.88,-2,42,Wacław Janicki
01128,93.78,-20,43,Roman Opaliński
20240,93.74,+43,44,Bernard Kula
01831,93.74,+17,45,Marian Kupnicki
01220,93.74,+5,46,Grzegorz Bajek
20259,93.59,-3,47,Jan Kot
04968,93.53,-2,48,Leszek Ernst
04347,93.5,-7,50,Henryk Łakomski
01208,93.5,-18,49,Adam Żarnowski
01727,93.45,-3,51,Artur Winkler
03647,93.44,-5,52,Cezary Bołądź
11319,93.31,-19,53,Przemysław Zawada
04329,93.17,+746,54,Zbigniew Krzepkowski
06225,93.15,+12,55,Wojciech Palmowski
01806,92.93,+1,56,Zdzisław Gryzło
17490,92.79,+1,57,Marian Śliwiński
10403,92.78,+8,58,Andrzej Wielowieyski
01668,92.61,+18,59,Edward Szafraniec
04719,92.48,+5,60,Artur Toeplitz
01772,92.43,-2,62,Sławomir Zimniak
01410,92.43,0,61,Tadeusz Kowalik
05081,92.29,+8,63,Marek Juszczak
01264,92.28,+6,64,Zbigniew Ciereszko
09039,92.22,+7,65,Leszek Kiczaty
05967,92.2,+47,66,Sabina Kaźmierska
05968,92.2,+45,67,Aleksander Kaźmierski
21367,92.18,+179,68,Jakub Bereza
07926,92.17,+5,69,Maciej Wierzbicki
01945,92.17,+5,70,Mirosław Bublewicz
06041,92.13,+10,71,Edward Niewierowski
05900,92.1,-47,72,Lechosław Błaziński
04808,92.08,-21,73,Krzysztof Pękała
04519,92.0,+4,74,Mirosław Zomkowski
12264,91.97,+5,75,Paweł Rokoszyński
04265,91.82,-58,76,Stanisław Charun
04854,91.82,+28,77,Kazimierz Zelga
11787,91.76,+4,78,Marcin Figura
06845,91.7,+616,79,Tomasz Paluchowski
18319,91.6,+34,80,Rafał Przybysz
14885,91.55,+10,81,Marcin Dobrowolski
08549,91.55,+8,82,Anna Maduzia
02390,91.53,+5,83,Zygmunt Radek
03763,91.43,-8,84,Leszek Kawski
09607,91.38,+10,85,Henryk Przybysławski
02110,91.36,+10,86,Zbigniew Przybylski
04798,91.31,+962,87,Mirosław Kopowski
12320,91.31,+264,88,Sophia Bałdysz
17254,91.28,+32,89,Krzysztof Jordan
05371,91.28,-4,90,Grzegorz Samol
06086,91.24,+6,91,Ryszard Sawicki
12691,91.23,+853,92,Stanisław Borowiec
01438,91.21,+15,93,Jerzy Kurianowicz
10875,91.2,-10,94,Witold Świdziński
07729,91.18,+3,95,Wojciech Paszko
05118,91.18,+39,96,Cezary Kmiecik
05216,91.17,-5,97,Paweł Marek
18843,91.16,+27,98,Wojciech Słysz
15825,91.12,-36,99,Kazimierz Salak
14534,91.11,-36,100,Roman Wajs
08026,91.1,-1,101,Andrzej Potrzyszcz
03933,91.08,+46,102,Eugeniusz Seichter
04261,91.05,-9,103,Lech Grabski
05017,91.01,-11,104,Józef Grewling
14782,90.98,+1,105,Jakub Patreuha
16187,90.95,+1,106,Krzysztof Czapczyk
10654,90.87,+9,107,Bogdan Świadek
04906,90.8,-39,108,Jan Borychowski
21141,90.77,+755,109,Aleksandra Bąk
16317,90.74,-8,110,Marian Krasowski
16859,90.73,+1195,111,Ireneusz Grynczewski
07986,90.53,+7,112,Wiesław Pawelec
05454,90.5,-40,113,Bogdan Świątek
17453,90.49,+4,114,Ireneusz Saturski
17493,90.49,+61,115,Adam Seichter
05483,90.48,-33,116,Tomasz Wasilewski
05357,90.47,+16,117,Jerzy Roszak
05045,90.47,+14,118,Przemysław Hauser
01224,90.45,-10,119,Marek Bałdysz
12783,90.45,+85,120,Robert Mrukowski
07152,90.44,-68,123,Jacek Mazurkiewicz
01916,90.44,-68,122,Dariusz Zbieg
01508,90.44,-71,121,Jarosław Molenda
08043,90.37,-1,124,Piotr Zawiślak
01138,90.35,+5,125,Marek Pietraszek
10023,90.35,-4,126,Leszek Łuniewski
07577,90.32,0,127,Marek Cielecki
18932,90.31,+24,128,Krzysztof Dzierżak
03920,90.27,-18,129,Grzegorz Rojewski
11401,90.23,-2,130,Robert Komar
05544,90.2,+13,131,Jolanta Ziętara
05079,90.2,+13,132,Rafał Junik
12229,90.19,-24,134,Robert Rychlicki
04427,90.19,-13,133,Edmund Reczuga
13463,90.18,-4,135,Arkadiusz Zadworny
10899,90.14,0,136,Janusz Gorczyński
04365,90.07,-58,137,Krzysztof Michalczyk
10426,90.06,+1,138,Marek Szakun
13730,90.05,-94,139,Grzegorz Cieślicki
04696,90.04,-11,140,Antoni Sękowski
02436,89.99,0,141,Krzysztof Tumielewicz
01483,89.98,-2,142,Adam Marcinowski
05403,89.98,+49,143,Piotr Solecki
07475,89.9,+3,144,Jerzy Stworzewicz
05988,89.85,-32,147,Stanisław Kulesza
19518,89.85,+3,146,Bolesław Studziński
11493,89.85,+6,145,Arkadiusz Skonieczny
15157,89.78,+5,148,Wojciech Wajda
07271,89.74,+61,149,Adrian Bakalarz
12439,89.68,-46,150,Arkadiusz Gotwald
09555,89.67,+13,151,Przemysław Klęsk
13762,89.66,-63,152,Stanisław Baraszkiewicz
13181,89.6,+33,153,Sławomir Bogdanowicz
04399,89.6,+7,154,Tomasz Patalan
05954,89.58,+81,155,Aleksander Jasiukiewicz
05074,89.56,+1162,156,Janusz Jędrzejewski
09037,89.55,-4,158,Mirosław Roesler
03636,89.55,+12,157,Mieczysław Lebiecki
01633,89.51,+40,159,Grzegorz Skowronek
05192,89.47,+13,160,Jarosław Lubczyński
10479,89.44,-23,161,Krzysztof Obłój
06634,89.42,+4,162,Stefan Jakubowski
04275,89.41,-4,163,Mirosław Grodzki
03562,89.39,+6,164,Jerzy Ujma
18575,89.37,+7,165,Zenon Skrzypczak
08271,89.36,-67,166,Adam Karczmarz
01288,89.35,-25,167,Janusz Drozdowski
11809,89.34,+59,168,Krzysztof Mielnik
02087,89.28,-7,170,Marian Nieznański
18409,89.28,+6,169,Dariusz Forycki
05050,89.27,+6,171,Wiesław Hilbrecht
04780,89.24,+60,172,Grzegorz Gan
06030,89.18,+6,173,Waldemar Mikucki
04064,89.18,+32,174,Michał Bobrykow
17854,89.18,+5,175,Dariusz Krakowiak
01928,89.17,-127,176,Halina Baran
13359,89.16,+79,177,Dominika Wołyńska
02036,89.14,-13,178,Stanisław Kotas
