index,PID,ranking,name
0,05084,100.0,Tadeusz Kaczanowski
1,18354,99.2,Małgorzata Buduła
2,18319,99.2,Rafał Przybysz
3,07909,99.02,Paweł Pietrażycki
4,04332,98.5,Kazimierz Kulas
5,08769,98.24,Sławomir Piechocki
6,01668,98.16,Edward Szafraniec
7,15825,97.39,Kazimierz Salak
8,14534,97.24,Roman Wajs
9,07906,96.52,Andrzej Parmonik
10,02116,96.52,Andrzej Rękosiak
11,03763,96.31,Leszek Kawski
12,11899,95.42,Dominik Głowacki
13,01264,94.7,Zbigniew Ciereszko
14,05900,94.66,Lechosław Błaziński
15,19705,94.65,Jan Syska
16,06634,94.27,Stefan Jakubowski
17,06090,93.77,Robert Cylwik
18,13767,93.77,Robert Zaciura
19,02390,93.54,Zygmunt Radek
20,12691,93.31,Stanisław Borowiec
21,05386,93.17,Paweł Siwiński
22,15032,92.89,Rafał Maszenda
23,16795,92.87,Marcin Rój
24,03927,92.7,Zbigniew Rychlik
25,09001,92.56,Marek Matwijewicz
26,11595,92.29,Dariusz Wojna
27,03799,92.28,Bogumił Kupczyk
28,11444,92.12,Grzegorz Adamski
29,10875,91.96,Witold Świdziński
30,04463,91.89,Jan Stańczak
31,01438,91.77,Jerzy Kurianowicz
32,10983,91.67,Grzegorz Zborowski
33,18254,91.55,Andrzej Milewski
34,01483,91.55,Adam Marcinowski
35,05545,91.52,Wojciech Zimniak
36,05017,91.51,Józef Grewling
37,20178,91.14,Marian Chrzanowski
38,17854,91.05,Dariusz Krakowiak
39,10385,90.81,Wiesław Adamowicz
40,08344,90.81,Jerzy Czeszewski
41,06338,90.57,Aleksander Marciniak
42,10403,90.37,Andrzej Wielowieyski
43,05371,90.24,Grzegorz Samol
44,05081,90.24,Marek Juszczak
45,04772,90.14,Bogusław Dyk
46,12269,90.11,Tomasz Jakóbczak
47,07575,89.98,Marian Grzyb
48,06165,89.83,Dariusz Biedrzycki
49,06233,89.77,Marian Rutkowski
50,05045,89.76,Przemysław Hauser
51,05357,89.76,Jerzy Roszak
52,01224,89.75,Marek Bałdysz
53,04920,89.68,Marek Bukowski
54,17738,89.14,Witold Żygulski
55,10472,88.79,Samuel Bałdysz
56,01270,88.66,Grzegorz Czapulak
57,01252,88.64,Zbigniew Buciuto
58,01722,88.64,Józef Wiese
59,21144,88.2,Krzysztof Szufnara
60,04720,88.19,Paweł Czacharowski
61,04992,88.11,Zbigniew Geisler
62,05304,88.11,Waldemar Pałka
63,04797,88.11,Ryszard Konopka
64,06175,88.07,Kazimierz Dobrzyniecki
65,10864,88.03,Józef Adamski
66,06218,88.0,Andrzej Niewiadomski
67,03733,87.99,Piotr Iwanus
68,03892,87.99,Marcin Piotrowski
69,09394,87.91,Marek Siech
70,02229,87.89,Henryk Choiński
71,20881,87.89,Krzysztof Borowik
72,11809,87.72,Krzysztof Mielnik
73,08271,87.71,Adam Karczmarz
74,11503,87.48,Mirosława Miętkiewska
75,03933,87.38,Eugeniusz Seichter
76,11355,87.16,Władysław Korbutowicz
77,10479,87.11,Krzysztof Obłój
78,02283,87.11,Zbigniew Józefiak
79,05229,87.08,Adam Meller
80,14368,87.08,Andrzej Żmuda
81,11493,87.03,Arkadiusz Skonieczny
