level_0,index,PID,ranking,name
0,0,06115,100.0,Radosław Szopiński
1,1,04153,98.76,Ireneusz Iwanow
2,2,02395,98.6,Krzysztof Rogoziński
3,3,07906,98.35,Andrzej Parmonik
4,4,02116,98.35,Andrzej Rękosiak
5,5,04063,97.88,Andrzej Prasalski
6,6,01208,97.6,Adam Żarnowski
7,7,02121,97.45,Ryszard Sakowicz
8,8,04349,97.41,Ryszard Łasowski
9,9,06137,97.29,Marcin Wiliński
10,10,06116,97.29,Radosław Szymczak
11,11,07346,96.78,Kazimierz Lichawski
12,12,05989,96.7,Jerzy Kullass
13,13,13003,96.69,Mariusz Bielski
14,14,06338,96.67,Aleksander Marciniak
15,15,11800,96.36,Mariusz Krakowiak
16,16,02114,96.17,Sebastian Rawlik
17,17,05900,96.11,Lechosław Błaziński
18,18,04265,95.42,Stanisław Charun
19,19,05548,95.41,Janusz Zwierzyński
20,20,08297,95.08,Leszek Pęcherzewski
21,21,01882,95.03,Andrzej Skotniczny
22,22,04731,95.0,Sylwester Walerowicz
23,23,05446,94.99,Marek Szukała
24,24,05084,94.97,Tadeusz Kaczanowski
25,25,05519,94.81,Marcin Woźniak
26,26,03750,94.76,Julian Jurski
27,27,03853,94.67,Jerzy Misiórski
28,28,03374,94.54,Bogusław Mojżesz
29,29,11899,94.5,Dominik Głowacki
30,30,01128,94.42,Roman Opaliński
31,31,07902,94.21,Damian Mazurak
32,32,03647,94.08,Cezary Bołądź
33,33,11789,93.97,Robert Kamiński
34,34,10898,93.97,Zbigniew Ehlert
35,35,04593,93.9,Wacław Janicki
36,36,04014,93.81,Piotr Wołowski
37,37,11319,93.77,Przemysław Zawada
38,38,03763,93.77,Leszek Kawski
39,39,01806,93.75,Zdzisław Gryzło
40,40,01916,93.65,Dariusz Zbieg
41,41,07152,93.65,Jacek Mazurkiewicz
42,42,20259,93.58,Jan Kot
43,43,13730,93.57,Grzegorz Cieślicki
44,44,01727,93.44,Artur Winkler
45,45,01928,93.34,Halina Baran
46,46,15825,93.27,Kazimierz Salak
47,47,14534,93.24,Roman Wajs
48,48,04494,93.2,Zenon Wawer
49,49,04404,93.2,Wiesław Pietrzak
50,50,01508,93.19,Jarosław Molenda
51,51,06225,93.18,Wojciech Palmowski
52,52,01220,93.18,Grzegorz Bajek
53,53,01264,93.11,Zbigniew Ciereszko
54,54,04968,92.96,Leszek Ernst
55,55,01772,92.93,Sławomir Zimniak
56,56,01410,92.93,Tadeusz Kowalik
57,57,01231,92.93,Longin Bartnik
58,58,04402,92.72,Ryszard Pichla
59,59,04347,92.71,Henryk Łakomski
60,60,03801,92.7,Jerzy Kurzawski
61,61,18319,92.7,Rafał Przybysz
62,62,10403,92.52,Andrzej Wielowieyski
63,63,04719,92.48,Artur Toeplitz
64,64,01873,92.47,Jan Ratajczak
65,65,02390,92.37,Zygmunt Radek
66,66,04808,92.35,Krzysztof Pękała
67,67,05081,92.2,Marek Juszczak
68,68,05017,92.03,Józef Grewling
69,69,01945,92.02,Mirosław Bublewicz
70,70,07926,92.02,Maciej Wierzbicki
71,71,10426,92.01,Marek Szakun
72,72,04365,91.97,Krzysztof Michalczyk
73,73,04519,91.97,Mirosław Zomkowski
74,74,12264,91.96,Paweł Rokoszyński
75,75,04551,91.91,Robert Czarnecki
76,76,17490,91.88,Marian Śliwiński
77,77,05167,91.86,Wojciech Kus
78,78,01668,91.75,Edward Szafraniec
79,79,05483,91.72,Tomasz Wasilewski
80,80,13463,91.67,Arkadiusz Zadworny
81,81,09039,91.65,Leszek Kiczaty
82,82,03562,91.63,Jerzy Ujma
83,83,12374,91.59,Zdzisław Patreuha
84,84,01831,91.56,Marian Kupnicki
85,85,10899,91.54,Janusz Gorczyński
86,86,08549,91.52,Anna Maduzia
87,87,14885,91.52,Marcin Dobrowolski
88,88,16317,91.51,Marian Krasowski
89,89,16447,91.48,Leszek Lipka
90,90,05371,91.47,Grzegorz Samol
91,91,05118,91.45,Cezary Kmiecik
92,92,01273,91.4,Janusz Czerniawski
93,93,04261,91.37,Lech Grabski
94,94,09607,91.37,Henryk Przybysławski
95,95,02110,91.36,Zbigniew Przybylski
96,96,05079,91.35,Rafał Junik
97,97,05544,91.35,Jolanta Ziętara
98,98,05216,91.35,Paweł Marek
99,99,07986,91.28,Wiesław Pawelec
100,100,20240,91.26,Bernard Kula
101,101,08271,91.14,Adam Karczmarz
102,102,06186,91.1,Sławomir Grędziński
103,103,01718,91.09,Bogumił Wegner
104,104,04906,91.08,Jan Borychowski
105,105,05038,90.99,Jerzy Gurzęda
106,106,14782,90.99,Jakub Patreuha
107,107,06041,90.98,Edward Niewierowski
108,108,03911,90.95,Jan Rdesiński
109,109,03864,90.9,Bogdan Najmrodzki
110,110,07729,90.9,Wojciech Paszko
111,111,10875,90.85,Witold Świdziński
112,112,01224,90.84,Marek Bałdysz
113,113,08026,90.83,Andrzej Potrzyszcz
114,114,05045,90.8,Przemysław Hauser
115,115,05357,90.8,Jerzy Roszak
116,116,05454,90.73,Bogdan Świątek
117,117,18785,90.72,Paweł Sierakowski
118,118,05967,90.7,Sabina Kaźmierska
119,119,05968,90.7,Aleksander Kaźmierski
120,120,17453,90.5,Ireneusz Saturski
121,121,04427,90.49,Edmund Reczuga
122,122,10654,90.39,Bogdan Świadek
123,123,04854,90.38,Kazimierz Zelga
124,124,18843,90.34,Wojciech Słysz
125,125,07475,90.31,Jerzy Stworzewicz
126,126,10225,90.31,Marian Zarembski
127,127,12439,90.3,Arkadiusz Gotwald
128,128,07577,90.28,Marek Cielecki
129,129,04279,90.22,Jan Janiak
130,130,06144,90.2,Czesław Wojtaś
131,131,04696,90.19,Antoni Sękowski
132,132,13762,90.06,Stanisław Baraszkiewicz
133,133,02436,89.98,Krzysztof Tumielewicz
