PID,name,Wpadka
04328,Wiesław Krzemieński,99.73
04327,Józefa Krzemieńska,99.73
20797,Jakub Piłat,99.46
18644,Szymon Graś,99.46
01891,Gerard Szweda,99.19
15678,Janusz Struzik,99.19
06331,Roman Kiełkiewicz,99.05
06322,Kazimierz Falkowski,98.92
03884,Wiesław Paczkowski,98.65
03992,Roman Wachowiak,98.65
21658,Andrzej Nasierowski,98.38
21677,Tomasz Perduta,98.38
20771,Gerard Wenta,98.24
17294,Marek Bałabuch,97.97
18482,Piotr Zalcman,97.97
11800,Mariusz Krakowiak,97.7
13003,Mariusz Bielski,97.7
01264,Zbigniew Ciereszko,97.43
02390,Zygmunt Radek,97.43
04618,Wiesława Kasperek,97.16
16130,Jerzy Kajzer,97.16
04279,Jan Janiak,96.89
08316,Krzysztof Nagielski,96.89
01001,Andrzej Ankiersztejn,96.76
03834,Krzysztof Majkowski,96.49
10455,Mirosław Andrzejczak,96.49
05403,Piotr Solecki,96.35
04347,Henryk Łakomski,96.08
03636,Mieczysław Lebiecki,96.08
02115,Czesław Rekret,95.95
07109,Jerzy Ronke,95.68
05670,Andrzej Kozikowski,95.68
13065,Anna Jankowska,95.54
04179,Paweł Abramski,95.27
04237,Zdzisław Falkowski,95.27
01718,Bogumił Wegner,95.14
08052,Bohdan Pliszka,94.86
13384,Rajmund Fons,94.86
20167,Magdalena Judek,94.73
03529,Jacek Szczerbowski,94.59
12629,Tomasz Magryś,94.32
20033,Dominik Magryś,94.32
01632,Aleksander Skorupa,94.05
01707,Stanisław Wachel,94.05
16439,Jerzy Plichtowicz,93.92
15084,Mirosław Stelmaszyk,93.65
15082,Krzysztof Lubkowski,93.65
10898,Zbigniew Ehlert,93.38
11789,Robert Kamiński,93.38
15267,Lucjan Buława,93.24
08165,Marek Czerniawski,93.11
04017,Iwona Puczyłowska,92.84
04030,Marek Nasiłowski,92.84
03733,Piotr Iwanus,92.7
05348,Włodzimierz Reszelski,92.57
04949,Michał Dembiński,92.43
11000,Jerzy Pala,92.16
07501,Jan Styczyński,92.16
16817,Kazimierz Buchalski,92.03
15645,Marcin Bonawenturczak,91.89
04427,Edmund Reczuga,91.62
09037,Mirosław Roesler,91.62
06116,Radosław Szymczak,91.35
06137,Marcin Wiliński,91.35
18681,Paweł Fiebig,91.22
10136,Robert Kicior,90.95
04100,Mieczysław Kudźma,90.95
18880,Roman Chmielecki,90.81
12439,Arkadiusz Gotwald,90.68
03853,Jerzy Misiórski,90.41
03750,Julian Jurski,90.41
05215,Zbigniew Marciniak,90.14
05167,Wojciech Kus,90.14
10465,Mieczysław Korzeniowski,89.86
20201,Piotr Mizak,89.86
14411,Marcin Mazerant,89.59
05603,Kazimierz Dróżdż,89.59
21541,Dariusz Wojtasiak,89.46
05118,Cezary Kmiecik,89.32
15865,Krystyna Wąchała,89.05
15866,Roman Wąchała,89.05
03920,Grzegorz Rojewski,88.78
12229,Robert Rychlicki,88.78
09588,Tadeusz Czajka,88.65
21971,Ewa Powała,88.38
21972,Sławomir Powała,88.38
05517,Krzysztof Wośkowiak,88.24
11624,Jan Jaworski,88.11
02103,Zdzisław Pleskot,87.97
16853,Zbigniew Mossakowski,87.7
15722,Karol Nowak,87.7
21053,Szymon Jędrzejewski,87.43
19911,Antoni Byliński,87.43
14973,Piotr Duszak,87.16
14971,Bartosz Ćwiek,87.16
11198,Krzysztof Lipowski,86.89
06121,Bogdan Trun,86.89
13762,Stanisław Baraszkiewicz,86.76
05988,Stanisław Kulesza,86.62
18826,Wiesław Sirman,86.35
18859,Sławomir Jamka,86.35
01402,Lech Kostecki,86.08
01456,Andrzej Litwiński,86.08
03030,Zbigniew Listewnik,85.81
09288,Zbigniew Bando,85.81
03820,Jarosław Łakomy,85.54
03714,Andrzej Grela,85.54
