PID,name,szlemik
01001,Andrzej Ankiersztejn,99.59
19352,Benon Żukowski,99.59
01149,Jerzy Puchała,99.59
07346,Kazimierz Lichawski,99.32
03104,Kazimierz Cios,99.32
17686,Wiesław Rakowski,99.05
16718,Jolanta Materniak,99.05
02196,Tadeusz Zwoliński,98.65
02115,Czesław Rekret,98.65
15226,Ryszard Szkwarek,98.65
02071,Marek Marciniak,98.38
19598,Przemysław Wojtczak,98.38
09464,Bartosz Gajewski,97.7
13084,Łukasz Wieczorek,97.7
05989,Jerzy Kullass,97.7
20195,Wiesław Zwierzyński,97.7
20194,Dorota Zwierzyńska,97.7
18667,Roman Wojciechowski,96.35
04621,Marek Kryniewski,96.35
15156,Hanna Probola,96.35
13463,Arkadiusz Zadworny,96.35
05049,Jarosław Hilbrecht,96.35
05050,Wiesław Hilbrecht,96.35
05118,Cezary Kmiecik,96.35
05244,Bogna Latowska,96.35
05403,Piotr Solecki,96.35
08128,Zenon Betański,96.35
01410,Tadeusz Kowalik,96.08
01772,Sławomir Zimniak,96.08
11447,Paweł Lasota,95.81
06634,Stefan Jakubowski,95.81
18932,Krzysztof Dzierżak,95.0
09099,Tomasz Lipiński,95.0
01071,Jan Kadula,95.0
21666,Piotr Dimitriu,95.0
01006,Zdzisław Baryła,95.0
01380,Zdzisław Klimczak,95.0
20214,Marcin Janiuk,93.78
10222,Włodzimierz Heymann,93.78
04358,Jakub Milkamanowicz,93.78
16676,Mariusz Wróblewicz,93.78
04808,Krzysztof Pękała,93.78
10225,Marian Zarembski,93.78
05348,Włodzimierz Reszelski,93.78
05982,Waldemar Krych,93.78
03374,Bogusław Mojżesz,93.78
18879,Zbigniew Lange,93.38
17411,Lech Jaworski,93.38
11477,Ryszard Kirkowski,93.38
22073,Waldemar Rozmarynowski,92.7
16323,Halina Pientka,92.7
17594,Anna Pusz,92.7
18243,Jan Łodziana,92.7
20918,Romuald Urbanowicz,92.7
20771,Gerard Wenta,92.16
16756,Marian Gołąbek,92.16
15267,Lucjan Buława,92.16
01412,Wiesław Kozieł,92.16
03647,Cezary Bołądź,91.89
03801,Jerzy Kurzawski,91.89
05988,Stanisław Kulesza,91.62
06108,Sławomir Szczełkun,91.62
04441,Marek Słowikowski,91.49
04696,Antoni Sękowski,91.22
04399,Tomasz Patalan,91.22
05017,Józef Grewling,90.95
05038,Jerzy Gurzęda,90.95
16448,Robert Góralczyk,90.14
07756,Piotr Serkowski,90.14
17294,Marek Bałabuch,90.14
09122,Tomasz Solarski,90.14
07656,Jerzy Stypiński,90.14
18482,Piotr Zalcman,90.14
09001,Marek Matwijewicz,89.86
07909,Paweł Pietrażycki,89.86
21541,Dariusz Wojtasiak,85.81
03820,Jarosław Łakomy,85.81
04344,Marek Lichocki,85.81
21712,Krzysztof Stec,85.81
09764,Bogusz Nalazek,85.81
16717,Aleksander Swatler,85.81
18557,Ewa Kita,85.81
11000,Jerzy Pala,85.81
11356,Janusz Linkiewicz,85.81
04352,Dariusz Łuczak,85.81
14475,Mieczysław Rejniak,85.81
12277,Łukasz Szczełkun,85.81
04682,Jacek Piotrowski,85.81
13762,Stanisław Baraszkiewicz,85.81
12771,Agata Szatan,85.81
12772,Dariusz Szatan,85.81
10426,Marek Szakun,85.81
03714,Andrzej Grela,85.81
08951,Janusz Tchórzewski,85.81
20977,Kazimierz Żmiejko,85.81
19678,Piotr Skowroński,85.81
08359,Dariusz Piątek,85.81
06116,Radosław Szymczak,85.81
06105,Lech Sulżycki,85.81
18880,Roman Chmielecki,85.81
08119,Waldemar Warzała,85.81
18893,Stanisław Wiktorski,85.81
07501,Jan Styczyński,85.81
06137,Marcin Wiliński,85.81
19579,Kazimierz Kłys,85.81
05108,Andrzej Kędzierski,85.68
01592,Ryszard Rączkowski,85.41
17872,Remigiusz Mincger,85.41
20009,Roman Puzoń,85.14
21679,Józef Chowaniec,85.14
20978,Cyprian Morawski,84.86
16623,Wojciech Ligman,84.86
18625,Krzysztof Boniek,84.59
04818,Krzysztof Materek,84.59
03497,Jerzy Skwark,84.19
05967,Sabina Kaźmierska,84.19
05968,Aleksander Kaźmierski,84.19
12317,Grzegorz Proniewicz,84.05
18604,Krystyna Goreń,83.78
19470,Tamara Cesarz,83.78
04100,Mieczysław Kudźma,83.51
10136,Robert Kicior,83.51
13339,Jan Siwczyński,83.24
17228,Mirosław Derwojed,83.24
10344,Krzysztof Gacek,82.97
03370,Jerzy Miś,82.97
01707,Stanisław Wachel,79.59
06194,Radosław Jaszczak,79.59
01220,Grzegorz Bajek,79.59
06136,Kazimierz Wiliński,79.59
01024,Władysław Chodziński,79.59
20118,Bogdan Wiliński,79.59
20864,Waldemar Kierski,79.59
01632,Aleksander Skorupa,79.59
06165,Dariusz Biedrzycki,79.59
01200,Józef Wrona,79.59
20824,Marek Zgorzałek,79.59
06218,Andrzej Niewiadomski,79.59
06181,Zbigniew Garlej,79.59
14971,Bartosz Ćwiek,79.59
01264,Zbigniew Ciereszko,79.59
14973,Piotr Duszak,79.59
04275,Mirosław Grodzki,79.59
12868,Ewa Miakisz,79.59
04287,Jan Jegliński,79.59
02390,Zygmunt Radek,79.59
04261,Lech Grabski,79.59
09245,Tomasz Sinkiewicz,79.59
09259,Kazimierz Ligęza,79.59
03461,Jerzy Rebajn,79.59
10314,Bogdan Zieliński,79.59
09394,Marek Siech,79.05
21060,Katarzyna Stachowiak,79.05
06067,Julian Pisarek,79.05
09006,Adam Peszke,79.05
18225,Marek Farbiszewski,78.92
12345,Andrzej Dudkiewicz,78.65
19152,Stanisław Gorzelak,78.65
01097,Dariusz Kulpiński,68.92
05186,Łukasz Lis,68.92
05586,Bolesław Cichocki,68.92
05242,Ewa Knapik,68.92
05618,Wiesław Gotowicki,68.92
06041,Edward Niewierowski,68.92
07991,Gabriel Szarafin,68.92
08323,Andrzej Piętak,68.92
12374,Zdzisław Patreuha,68.92
09037,Mirosław Roesler,68.92
11401,Robert Komar,68.92
11424,Henryk Duszyński,68.92
07572,Ireneusz Jagielski,68.92
12884,Anna Tompolska,68.92
08389,Krzysztof Trunowicz,68.92
05545,Wojciech Zimniak,68.92
05534,Stanisław Zakrzewski,68.92
05523,Artur Wójcik,68.92
05501,Janina Winnowicz,68.92
05500,Andrzej Winnowicz,68.92
11800,Mariusz Krakowiak,68.92
08769,Sławomir Piechocki,68.92
21730,Rafał Mania,68.92
05483,Tomasz Wasilewski,68.92
21677,Tomasz Perduta,68.92
11503,Mirosława Miętkiewska,68.92
05167,Wojciech Kus,68.92
05215,Zbigniew Marciniak,68.92
05435,Ryszard Szamałek,68.92
05587,Tadeusz Ciechanowski,68.92
21181,Piotr Łagoda,68.92
04854,Kazimierz Zelga,68.92
16817,Kazimierz Buchalski,68.92
03733,Piotr Iwanus,68.92
04345,Tomasz Lisica,68.92
04328,Wiesław Krzemieński,68.92
04327,Józefa Krzemieńska,68.92
19475,Mariola Miklaszewska,68.92
19404,Maria Kowal,68.92
19124,Ireneusz Turyk,68.92
04079,Sławomir Juchnicki,68.92
16799,Tomasz Powęzka,68.92
19106,Piotr Piątkiewicz,68.92
04416,Bernard Pszczoła,68.92
18859,Sławomir Jamka,68.92
17301,Arkadiusz Jaranowski,68.92
03904,Grzegorz Prusak,68.92
21562,Włodzimierz Misiaszek,68.92
17741,Marek Gapiński,68.92
18826,Wiesław Sirman,68.92
13003,Mariusz Bielski,68.92
03753,Marek Kaczan,68.92
18409,Dariusz Forycki,68.92
21647,Krzysztof Ruprik,68.92
04364,Piotr Mazur,68.92
04427,Edmund Reczuga,68.92
