,wk,średnia_na_rozgrywcecat,średnia_na_obroniecat,Kokosy_na_Obroniecat,częściówkacat,końcówkacat,szlemikcat,Wpadkacat,liczba_rozdan_na_rozgrywcecat,liczba_rozdan_na_obroniecat,liczba_rozdan_Kokosy_na_Obroniecat,liczba_rozdan_częściówkacat,liczba_rozdan_końcówkacat,liczba_rozdan_szlemikcat,liczba_rozdan_Wpadkacat
0,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
1,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
2,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
3,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
4,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
5,4.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
6,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
7,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
8,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
9,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
10,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
11,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
12,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
13,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
14,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
15,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
16,3.0,2,3,4,2,4,3,1,4,2,2,3,3,4,4
17,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
18,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
19,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
20,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
21,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
22,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
23,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
24,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
25,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
26,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
27,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
28,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
29,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
30,4.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
31,3.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
32,3.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
33,3.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
34,3.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
35,3.0,2,3,3,3,4,3,1,4,2,2,4,4,4,4
36,0.0,4,2,3,3,2,4,2,0,0,0,0,0,0,0
37,0.0,4,2,3,3,2,4,2,0,0,0,0,0,0,0
38,0.0,4,2,3,3,2,4,2,0,0,0,0,0,0,0
39,3.0,1,2,4,3,1,0,0,0,0,0,0,0,0,0
40,3.0,1,2,4,3,1,0,0,0,0,0,0,0,0,0
41,3.0,1,2,4,3,1,0,0,0,0,0,0,0,0,0
42,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
43,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
44,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
45,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
46,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
47,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
48,3.0,3,3,0,2,4,3,4,1,1,1,1,1,0,1
49,0.5,1,1,4,2,1,4,1,1,0,0,1,0,0,1
50,0.5,1,1,4,2,1,4,1,1,0,0,1,0,0,1
51,0.5,1,1,4,2,1,4,1,1,0,0,1,0,0,1
52,0.5,1,1,4,2,1,4,1,1,0,0,1,0,0,1
53,0.5,1,1,4,2,1,4,1,1,0,0,1,0,0,1
54,4.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
55,4.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
56,4.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
57,4.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
58,4.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
59,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
60,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
61,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
62,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
63,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
64,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
65,3.0,3,4,2,3,3,3,3,2,2,2,2,2,1,2
66,2.5,4,4,4,4,2,4,3,1,0,1,1,1,0,1
67,2.0,4,4,4,4,2,4,3,1,0,1,1,1,0,1
68,2.0,4,4,4,4,2,4,3,1,0,1,1,1,0,1
69,2.0,4,4,4,4,2,4,3,1,0,1,1,1,0,1
70,2.0,4,4,4,4,2,4,3,1,0,1,1,1,0,1
71,2.0,4,4,4,4,2,4,3,1,0,1,1,1,0,1
72,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
73,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
74,0.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
75,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
76,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
77,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
78,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
79,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
80,4.0,4,4,3,3,4,3,4,2,1,1,2,1,1,1
81,2.5,3,4,3,4,4,4,2,1,1,1,1,1,1,1
82,2.5,3,4,3,4,4,4,2,1,1,1,1,1,1,1
83,2.5,3,4,3,4,4,4,2,1,1,1,1,1,1,1
84,2.5,3,4,3,4,4,4,2,1,1,1,1,1,1,1
85,2.5,3,4,3,4,4,4,2,1,1,1,1,1,1,1
86,2.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
87,2.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
88,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
89,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
90,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
91,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
92,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
93,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
94,3.0,3,4,3,4,4,4,2,1,1,1,1,1,1,1
95,2.0,1,1,0,2,0,3,2,2,1,1,2,2,1,1
96,2.0,1,1,0,2,0,3,2,2,1,1,2,2,1,1
97,2.0,1,1,0,2,0,3,2,2,1,1,2,2,1,1
