,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
0,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
1,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
2,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
3,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
4,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
5,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
6,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
7,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
8,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
9,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
10,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
11,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
12,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
13,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
14,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
15,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
16,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
17,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
18,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
19,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
20,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
21,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
22,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
23,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
24,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
25,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
26,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
27,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
28,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
29,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
30,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
31,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
32,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
33,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
34,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
35,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
