,0,1,2,3,4,5,6,7,8
0,lokata,PID,imię i nazwisko,WZBS,WK,TK,PKL,liga,klub / drużyna
1,1.,06706,Apolinary Kowalski,WM,24,AS,187 649,E,VITAS ESBS Elblag
2,2.,08513,Piotr Gawryś,DS,24,AS,149 944,E,BRIDGESCANNER KS AZS Wratislavia I WR
3,3.,06658,Jacek Kalita,SW,24,AS,146 928,E,SPS CONSTRUCTION Kielce
4,4.,01221,Cezary Balicki,DS,24,AS,143 379,-,
5,5.,04662,Michał Nowosadzki,SW,24,AS,137 689,E,SPS CONSTRUCTION Kielce
6,6.,01318,Stanisław Gołębiowski,DS,24,AS,137 359,E,BRIDGESCANNER KS AZS Wratislavia I WR
7,7.,06973,Piotr Tuszyński,PM,24,AS,137 025,E,GTB SDK Tczew
8,8.,05176,Michał Kwiecień,PM,24,AS,133 854,E,Szkoła Brydża Szlem Gdańsk
9,9.,01776,Adam Żmudziński,DS,24,AS,132 860,-,
10,10.,08979,Krzysztof Jassem,DS,24,AS,126 678,E,BRIDGESCANNER KS AZS Wratislavia I WR
11,11.,06341,Grzegorz Narkiewicz,MA,24,AS,124 143,E,Fundacja Bridge24.pl
12,12.,01661,Włodzimierz Starkowski,PM,24,AS,121 112,E,Szkoła Brydża Szlem Gdańsk
13,13.,05341,Jacek Pszczoła,SW,24,AS,116 840,E,SPS CONSTRUCTION Kielce
14,14.,01115,Krzysztof Martens,WP,24,AS,108 950,-,TZBS Kalisz
15,15.,07291,Krzysztof Buras,MA,24,AS,106 585,E,Fundacja Bridge24.pl
16,16.,12197,Michał Klukowski,PM,24,AS,105 110,E,Szkoła Brydża Szlem Gdańsk
17,17.,06887,Jacek Romański,WM,24,AS,95 063,E,VITAS ESBS Elblag
18,18.,06540,Bartosz Chmurski,MA,24,AS,80 013,1,Bridge24.pl 2.
19,19.,02843,Andrzej Wilkosz,MP,24,AS,70 707,-,
20,20.,08945,Janusz Połeć,MA,24,AS,64 953,-,
21,21.,06751,Marcin Leśniewski,MP,24,AS,61 024,-,
22,22.,06680,Julian Klukowski,WP,24,AS,60 629,-,
23,23.,06963,Marek Szymanowski,MA,24,AS,53 246,2,Gambling Zamek Ciechanów
24,24.,13140,Andrey Gromov,LU,24,AS,50 835,-,
25,25.,13139,Aleksander Dubinin,MA,24,AS,47 923,-,
26,26.,03844,Marcin Mazurkiewicz,KP,24,AS,47 771,E,LKS KASZTELAN KONKRET Chełmno
27,27.,10117,Krzysztof Lasocki,WP,24,AS,40 372,-,
28,28.,11934,Tomasz Przybora,MA,24,AS,35 766,-,
29,29.,00542,Marian Frenkiel,MA,24,AS,20 000,-,
30,,00597,Andrzej Macieszczak,MA,24,AS,20 000,-,
31,,00668,Henryk Wolny,PM,24,AS,20 000,-,
32,32.,09146,Piotr Tuczyński,MA,24,AS,8 044,E,Fundacja Bridge24.pl
33,33.,17285,Lotan Fisher,WP,24,AS,1 269,-,
34,34.,17286,Ron Schwartz,WP,24,AS,1 073,-,
35,35.,16767,Norberto Bocchi,MA,24,AS,377,-,
36,36.,17180,Giorgio Duboin,MA,24,AS,0,-,
37,,16768,Agustin Madala,MA,24,AS,0,-,
38,38.,04250,Bogusław Gierulski,WM,21,AM,121 872,E,VITAS ESBS Elblag
39,39.,04451,Jerzy Skrzypczak,WM,21,AM,92 858,E,VITAS ESBS Elblag
40,40.,05056,Rafał Jagniewski,OP,21,AM,91 668,E,SYNIS VALUE MEDIA OPOLE
41,41.,01539,Wojciech Olański,WM,21,AM,87 472,E,VITAS ESBS Elblag
42,42.,05363,Jerzy Russyan,WM,21,AM,78 211,E,VITAS ESBS Elblag
43,43.,07869,Sławomir Zawiślak,SL,21,AM,72 138,E,TB Silesia I Gliwice
44,44.,02806,Wojciech Strzemecki,SW,21,AM,70 254,E,Dr SMILE Starachowice
45,45.,05111,Wit Klapper,MP,21,AM,69 294,2,TS Wisła Kraków
46,46.,04665,Kazimierz Omernik,PM,21,AM,66 425,1,GTB ANDRZEJKI Gdańsk
47,47.,04108,Przemysław Janiszewski,SW,21,AM,64 615,E,SPS CONSTRUCTION Kielce
48,48.,07431,Marek Witek,SW,21,AM,59 044,E,Dr SMILE Starachowice
49,49.,06909,Anna Sarniak,MA,21,AM,57 252,1,Bridge24.pl 2.
50,50.,04111,Krzysztof Kotorowicz,SW,21,AM,56 961,E,SPS CONSTRUCTION Kielce
0,lokata,PID,imię i nazwisko,WZBS,WK,TK,PKL,liga,klub / drużyna
1,1.,06706,Apolinary Kowalski,WM,24,AS,187 649,E,VITAS ESBS Elblag
2,2.,08513,Piotr Gawryś,DS,24,AS,149 944,E,BRIDGESCANNER KS AZS Wratislavia I WR
3,3.,06658,Jacek Kalita,SW,24,AS,146 928,E,SPS CONSTRUCTION Kielce
4,4.,01221,Cezary Balicki,DS,24,AS,143 379,-,
5,5.,04662,Michał Nowosadzki,SW,24,AS,137 689,E,SPS CONSTRUCTION Kielce
6,6.,01318,Stanisław Gołębiowski,DS,24,AS,137 359,E,BRIDGESCANNER KS AZS Wratislavia I WR
7,7.,06973,Piotr Tuszyński,PM,24,AS,137 025,E,GTB SDK Tczew
8,8.,05176,Michał Kwiecień,PM,24,AS,133 854,E,Szkoła Brydża Szlem Gdańsk
9,9.,01776,Adam Żmudziński,DS,24,AS,132 860,-,
10,10.,08979,Krzysztof Jassem,DS,24,AS,126 678,E,BRIDGESCANNER KS AZS Wratislavia I WR
11,11.,06341,Grzegorz Narkiewicz,MA,24,AS,124 143,E,Fundacja Bridge24.pl
12,12.,01661,Włodzimierz Starkowski,PM,24,AS,121 112,E,Szkoła Brydża Szlem Gdańsk
13,13.,05341,Jacek Pszczoła,SW,24,AS,116 840,E,SPS CONSTRUCTION Kielce
14,14.,01115,Krzysztof Martens,WP,24,AS,108 950,-,TZBS Kalisz
15,15.,07291,Krzysztof Buras,MA,24,AS,106 585,E,Fundacja Bridge24.pl
16,16.,12197,Michał Klukowski,PM,24,AS,105 110,E,Szkoła Brydża Szlem Gdańsk
17,17.,06887,Jacek Romański,WM,24,AS,95 063,E,VITAS ESBS Elblag
18,18.,06540,Bartosz Chmurski,MA,24,AS,80 013,1,Bridge24.pl 2.
19,19.,02843,Andrzej Wilkosz,MP,24,AS,70 707,-,
20,20.,08945,Janusz Połeć,MA,24,AS,64 953,-,
21,21.,06751,Marcin Leśniewski,MP,24,AS,61 024,-,
22,22.,06680,Julian Klukowski,WP,24,AS,60 629,-,
23,23.,06963,Marek Szymanowski,MA,24,AS,53 246,2,Gambling Zamek Ciechanów
24,24.,13140,Andrey Gromov,LU,24,AS,50 835,-,
25,25.,13139,Aleksander Dubinin,MA,24,AS,47 923,-,
26,26.,03844,Marcin Mazurkiewicz,KP,24,AS,47 771,E,LKS KASZTELAN KONKRET Chełmno
27,27.,10117,Krzysztof Lasocki,WP,24,AS,40 372,-,
28,28.,11934,Tomasz Przybora,MA,24,AS,35 766,-,
29,29.,00542,Marian Frenkiel,MA,24,AS,20 000,-,
30,,00597,Andrzej Macieszczak,MA,24,AS,20 000,-,
31,,00668,Henryk Wolny,PM,24,AS,20 000,-,
32,32.,09146,Piotr Tuczyński,MA,24,AS,8 044,E,Fundacja Bridge24.pl
33,33.,17285,Lotan Fisher,WP,24,AS,1 269,-,
34,34.,17286,Ron Schwartz,WP,24,AS,1 073,-,
35,35.,16767,Norberto Bocchi,MA,24,AS,377,-,
36,36.,17180,Giorgio Duboin,MA,24,AS,0,-,
37,,16768,Agustin Madala,MA,24,AS,0,-,
38,38.,04250,Bogusław Gierulski,WM,21,AM,121 872,E,VITAS ESBS Elblag
39,39.,04451,Jerzy Skrzypczak,WM,21,AM,92 858,E,VITAS ESBS Elblag
40,40.,05056,Rafał Jagniewski,OP,21,AM,91 668,E,SYNIS VALUE MEDIA OPOLE
