,Unnamed: 0,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,PID,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
0,0,567,37.117333333333335,62.06285714285714,85.875,52.73833333333334,36.74,29.543333333333337,23.3275,00567,15,14,8,6,4,3,8
1,1,1001,45.47323529411764,43.01396551724138,69.9203448275862,45.582830188679246,47.4121568627451,48.971,24.218103448275865,01001,136,116,29,53,102,10,58
2,2,1005,59.46357142857143,51.36666666666667,71.04714285714286,49.03153846153846,67.1,79.57,37.476,01005,14,15,7,13,3,1,5
3,3,1010,41.14128,45.139483870967744,68.71089285714285,42.2322077922078,41.086781609195405,39.425,23.345357142857143,01010,125,155,56,77,87,4,56
4,4,1056,49.88532608695652,48.277804878048784,71.38428571428571,47.89661538461539,46.40109375,59.18444444444444,26.11057142857143,01056,92,123,42,65,64,9,35
5,5,1060,42.09857142857143,42.28876190476191,67.41411764705882,43.178888888888885,40.6331746031746,32.81333333333333,23.552857142857142,01060,91,105,34,54,63,3,42
6,6,1072,58.23827751196172,49.06662551440329,73.52082474226805,53.18666666666667,50.8317880794702,43.30384615384616,29.454727272727272,01072,209,243,97,123,151,26,55
7,7,1095,50.94285714285714,51.81923076923077,80.949,50.023,44.834,69.86,27.6725,01095,28,26,10,20,15,1,8
8,8,1101,48.70191011235956,48.88256756756757,70.11607142857143,51.259791666666665,47.06641025641026,38.52571428571429,34.70219512195122,01101,89,74,28,48,39,7,41
9,9,1105,57.89358490566038,52.51649122807018,65.93111111111112,53.32484848484849,56.87967741935484,46.24666666666667,38.745625,01105,53,57,27,33,31,3,16
10,10,1108,44.238933333333335,46.28353293413174,70.26545454545455,48.15074074074074,44.26537735849057,36.46428571428572,22.91393442622951,01108,150,167,55,81,106,14,61
11,11,1111,42.85026315789474,42.82468085106383,72.33533333333334,41.75,41.75185185185185,17.677500000000002,24.86125,01111,38,47,15,23,27,4,16
12,12,1117,47.26220472440945,49.58293103448276,73.56113636363636,47.67640625,48.19884615384615,56.51571428571429,26.2164,01117,127,116,44,64,78,7,50
13,13,1136,38.274,45.68105263157895,70.07571428571428,39.146,31.89,52.57,32.212,01136,10,19,7,5,11,1,5
14,14,1139,50.114823529411765,48.44009950248756,69.95766666666667,46.69234782608696,51.41081967213115,50.998125,27.600172413793103,01139,170,201,60,115,122,16,58
15,15,1140,37.96357142857143,40.30108527131783,60.12285714285714,36.98202898550725,40.90941176470589,34.51714285714286,19.97292682926829,01140,98,129,42,69,68,7,41
16,16,1157,43.84151515151515,45.273717948717945,68.7794,47.23189189189189,43.75625,33.85,23.181818181818183,01157,132,156,50,74,96,13,55
17,17,1163,50.53385185185185,47.27388489208633,72.53795454545455,52.77802325581395,47.481084337349394,64.15599999999999,21.1778431372549,01163,135,139,44,86,83,10,51
18,18,1164,48.19166666666666,45.98625,69.09892857142857,52.13021739130434,40.78529411764706,35.425,19.095,01164,54,80,28,46,34,4,22
19,19,1169,50.29902173913044,49.733981481481486,70.11208333333333,47.45406504065041,52.1234126984127,50.998125,27.446349206349204,01169,184,216,72,123,126,16,63
20,20,1218,39.33882882882882,46.35478873239437,69.97037735849057,39.23169014084507,45.35385714285714,45.281666666666666,19.031132075471696,01218,111,142,53,71,70,6,53
21,21,1230,54.57322222222222,51.81169811320755,74.82238095238095,61.9485294117647,60.45795918367347,37.82,25.11638888888889,01230,90,53,21,34,49,3,36
22,22,1247,49.02418118466899,51.79544642857143,75.38593023255814,50.22369565217391,54.232328767123285,56.4537037037037,24.70078947368421,01247,287,224,86,138,146,27,114
