,m-ce,nr,nazwiska,wk,okręg,ośrodek,+/-,%,pkl,pdf
0,1,517,Lechosław BłazińskiRadosław Szopiński,12.07.0,ZP,ZP/430,,68.83,100,1500
1,2,303,Michał BobrykowZbigniew Gadek,3.02.5,PD,PD/369,,67.16,100,1490
2,3,237,Radosław RozmanJan Syska,2.52.5,MA,MA/262,,67.03,99,1480
3,4,100,Julian JurskiJerzy Misiórski,11.09.0,KP,KP/295,,66.5,98,1472
4,5,486,Zbigniew MarciniakWojciech Kus,5.03.0,WP,WP/417,,64.98,97,1466
5,6,248,Dominik GłowackiWojciech Palmowski,4.09.0,MA,MA/321,,63.45,96,1460
6,7,533,Bogdan TrzycieckiSławomir Dąbrowski,0.00.0,ZP,ZP/433,,63.13,95,1454
7,8,138,Andrzej ParmonikAndrzej Rękosiak,5.07.0,LB,LB/263,,63.02,94,1448
8,9,56,Zdzisław PatreuhaMarian Kupnicki,5.017.0,DSKP,DS/72,,62.88,93,1442
9,10,146,Mirosław MiłaszewiczZbigniew Ćwiertniak,5.01.5,LB,LB/265,,62.71,92,1436
10,11,126,Mariusz BielskiMariusz Krakowiak,5.05.0,KP,KP/50,,62.57,91,1430
11,12,467,Robert KempkaPiotr Łagoda,1.51.0,WP,WP/300,,62.53,90,1424
12,13,372,Adrian BakalarzJacek Cholewik,7.09.0,SL,SL/106,,62.38,89,1418
13,14,413,Tomasz StopierzyńskiMirosław Makuch,5.04.0,WM,WM/446,,62.33,89,1412
14,15,72,Jerzy WróbelWaldemar Buśko,2.52.0,KP,KP/289,,62.31,88,1406
15,16,397,Jan ChodkiewiczRobert Grad,5.04.0,WM,WM/337,,62.3,87,1400
16,17,289,Wiesław PiskozubWitold Lisicki,2.52.5,OP,OP/401,,62.19,87,1394
17,18,88,Jerzy JankowskiMarek Farbiszewski,1.51.5,KP,KP/295,,62.13,86,1388
18,19,401,Stanisław CharunZbigniew Krzepkowski,3.05.0,WM,WM/337,,61.81,85,1382
19,20,217,Paweł SierakowskiWitold Żygulski,3.02.5,MA,MA/262,,61.81,84,1376
20,21,243,Andrzej WądołowskiUrszula Wądołowska,5.02.5,MA,MA/321,,61.43,84,1370
21,22,342,Aleksander ChrenowskiWacław Janicki,13.017.0,PM,PM/102,,61.42,83,1364
22,23,36,Anna KołodziejczykJakub Patreuha,1.07.0,DS,DS/437,,61.37,82,1358
23,24,531,Jerzy KullassAndrzej Jabłoński,9.05.0,ZP,ZP/433,,61.37,81,1352
24,25,60,Marian ZarembskiMariusz Wróblewicz,4.02.5,KP,KP/125,,61.32,81,1346
25,26,497,Radosław SzymczakMarcin Wiliński,7.05.0,ZP,ZP/359,,61.19,80,1340
26,27,221,Bernard KulaJan Kot,1.51.5,MA,MA/262,,61.17,79,1334
27,28,543,Hanna ZembrzuskaTomasz Jakóbczak,9.05.0,ZP,ZP/452,,61.06,78,1328
28,29,428,Kazimierz LisMarek Bukowski,5.05.0,WP,WP/120,,60.9,78,1322
29,30,451,Jan BorychowskiBogdan Świątek,13.012.0,WP,WP/300,,60.8,77,1316
30,31,242,Grażyna JaskulskaKrzysztof Stefaniak,2.52.5,MA,MA/262,,60.72,76,1310
31,32,145,Zygmunt RadekZbigniew Ciereszko,5.09.0,LBDS,LB/265,,60.65,76,1304
32,33,469,Wojciech KaniewskiTadeusz Dziadykiewicz,5.02.5,WP,WP/300,,60.56,75,1298
33,34,364,Maria TomczewskaMarek Parol,7.04.0,PM,PM/129,,60.37,74,1292
34,35,11,Ryszard JuchaZbigniew Matyjaszczuk,1.51.5,DS,DS/136,,60.36,73,1286
35,36,170,Marek KowalskiSzymon Gorski,0.01.0,LB,LB/49,,60.34,73,1280
36,37,353,Jerzy KajzerWiesława Kasperek,5.05.0,PM,PM/102,,60.25,72,1274
37,38,453,Marek SzukałaJanusz Zwierzyński,19.012.0,WP,WP/300,,60.06,71,1268
38,39,396,Zbigniew SamborskiMarek Serdyński,2.02.0,WM,WM/337,,59.88,70,1262
39,40,162,Krzysztof RogozińskiRyszard Sakowicz,12.018.0,LBLU,LB/429,,59.71,70,1256
40,41,235,Marek SzakunMarek Jefremienko,4.01.5,MA,MA/262,,59.65,69,1250
41,42,334,Krzysztof CzapczykKazimierz Omernik,4.021.0,PM,PM/102,,59.55,68,1244
42,43,203,Jerzy JasińskiEdward Molas,4.03.0,LU,LU/96,,59.5,67,1238
43,44,526,Andrzej PożerskiWaldemar Wochna,5.05.0,ZP,ZP/433,,59.35,67,1232
44,45,6,Grzegorz BajekEdward Szafraniec,13.011.0,DS,DS/136,,59.33,66,1226
45,46,55,Sławomir ZimniakTadeusz Kowalik,7.05.0,DS,DS/72,,59.3,65,1220
46,47,315,Roman OpalińskiPrzemysław Zawada,18.021.0,PKSW,PK/118,,59.29,65,1214
47,48,155,Stanisław KotasSebastian Rawlik,5.05.0,LB,LB/429,,59.23,64,1208
48,49,202,Piotr ZawiślakAndrzej Potrzyszcz,5.07.0,LU,LU/96,,59.21,63,1202
49,50,157,Agnieszka ZiomekSkarbimir Kozar,2.05.0,LB,LB/429,,59.19,62,1196
50,51,196,Karol KałuzińskiAdam Motyka,7.05.0,LD,LD/48,,59.14,62,1190
51,52,259,Paweł LasotaStefan Jakubowski,2.54.0,MA,MA/384,,59.12,61,1185
52,53,484,Marek WojciechowskiLeszek Ernst,9.03.0,WP,WP/417,,59.11,60,1180
53,54,69,Andrzej MitkaIgor Smyk,4.03.0,KP,KP/289,,59.1,59,1175
54,55,418,Marek KuczyńskiKrzysztof Pakuła,5.09.0,WM,WM/446,,58.87,59,1170
55,56,62,Rajmund FonsBohdan Pliszka,2.07.0,KP,KP/125,,58.83,58,1165
56,57,41,Tomasz DorobekTomasz Struzik,4.05.0,DS,DS/437,,58.81,57,1160
57,58,292,Dariusz ZbiegJacek Mazurkiewicz,5.04.0,OP,OP/401,,58.79,56,1155
58,59,21,Marek CzerniawskiWojciech Raczyński,4.03.0,DS,DS/269,,58.74,56,1150
59,60,76,Bogusz NalazekWitold Posadzy,7.03.0,KP,KP/289,,58.71,55,1145
60,61,140,Łukasz FrąckowiakArkadiusz Jaranowski,3.04.0,LB,LB/263,,58.66,54,1140
61,62,18,Jerzy PoznarStanisław Borowiec,5.04.0,DS,DS/269,,58.53,54,1135
62,63,472,Paweł MarekMarcin Woźniak,5.09.0,WP,WP/300,,58.52,53,1130
63,64,443,Ewa KnapikAneta Klaczyńska,5.01.5,WPLB,WP/300,,58.49,52,1125
64,65,7,Józef KrasowskiSylwester Gołdyn,3.03.0,DS,DS/136,,58.48,51,1120
65,66,347,Robert CzarneckiArtur Toeplitz,5.07.0,PM,PM/102,,58.47,51,1115
66,67,256,Paweł RokoszyńskiHenryk Przybysławski,4.05.0,MA,MA/384,,58.36,50,1110
67,68,297,Jan RatajczakMieczysław Małek,4.05.0,OP,OP/401,,58.36,49,1105
68,69,95,Maria PruchniewskaElżbieta Zalewska,2.02.5,KP,KP/295,,58.18,48,1100
69,70,24,Grzegorz SkowronekTadeusz Cymbalista,3.05.0,DS,DS/269,,58.0,48,1095
70,71,159,Halina BaranGrzegorz Cieślicki,4.03.0,LB,LB/429,,57.95,47,1090
71,72,302,Mieczysław KudźmaRobert Kicior,5.02.5,PD,PD/369,,57.82,46,1085
72,73,1,Zbigniew BuciutoJanusz Czerniawski,3.05.0,DS,DS/136,,57.81,45,1080
73,74,471,Olgierd Rodziewicz-BielewiczEwa Rodziewicz-Bielewicz,13.07.0,WP,WP/300,,57.78,45,1075
74,75,444,Katarzyna Żabicka-BajonWaldemar Paternoga,2.01.5,WP,WP/300,,57.76,44,1070
75,76,264,Hanna ProbolaArkadiusz Zadworny,3.04.0,MA,MA/384,,57.74,43,1065
76,77,166,Sebastian SimonienkoSławomir Drewalski,5.04.0,LB,LB/429,,57.73,43,1060
77,78,67,Bogdan NajmrodzkiJan Rdesiński,9.05.0,KP,KP/125,,57.7,42,1055
78,79,307,Sławomir JuchnickiStanisław Pochodowicz,5.05.0,PD,PD/369,,57.68,41,1050
79,80,389,Mirosław GrodzkiJan Jegliński,5.05.0,WM,WM/324,,57.67,40,1045
80,81,104,Leszek KawskiAndrzej Wojnowski,9.04.0,KP,KP/353,,57.67,40,1040
81,82,362,Kazimierz ZelgaGrzegorz Gan,11.04.0,PM,PM/129,-0.18,57.59,39,1035
82,83,385,Krzysztof PękałaJakub Milkamanowicz,3.03.0,WM,WM/324,,57.48,38,1030
83,84,215,Jakub BojanowskiPiotr Chrząstowski-Wachtel,2.01.5,MA,MA/262,,57.46,37,1025
84,85,280,Agnieszka PietrzykJerzy Ujma,7.012.0,SL,OP/273,,57.4,37,1020
85,86,200,Zdzisław SenderekDariusz Sarzyński,2.51.5,LU,LU/96,,57.36,36,1015
86,87,249,Adam KarczmarzSławomir Grędziński,7.07.0,PDMA,MA/321,,57.3,35,1010
87,88,129,Czesław BuryJózef Palewicz,5.05.0,KP,KP/50,,57.28,34,1005
88,89,440,Romuald BartoszkoRadzisław Oczkowicz,5.05.0,WP,WP/293,,57.26,34,1000
89,90,351,Jacek PiotrowskiWaldemar Warzała,12.012.0,PM,PM/102,,57.25,33,995
90,91,338,Antoni SękowskiTomasz Patalan,18.05.0,PM,PM/102,,57.21,32,990
91,92,195,Teresa PudelewiczDariusz Kardas,5.011.0,LD,LD/48,,57.19,32,985
92,93,378,Zdzisław HartwigDariusz Łuczak,2.05.0,NZWM,WM/132,,56.98,31,980
93,94,29,Mariusz KowalczykJerzy Gładysz,7.012.0,DS,DS/437,,56.88,30,975
94,95,450,Krzysztof JordanEdward Niewierowski,3.011.0,WP,WP/300,,56.83,29,970
95,96,122,Marian JankowskiRoman Janczarek,4.05.0,KP,KP/50,,56.62,29,965
96,97,177,Stanisław WiktorskiRyszard Maras,1.54.0,LD,LD/119,,56.51,28,960
97,98,209,Zbigniew KozerskiGrzegorz Bettin,2.50.0,MA,MA/262,,56.49,27,955
98,99,143,Andrzej SzkielTomasz Konopka,4.04.0,LB,LB/265,,56.43,26,950
99,100,79,Marian PiaseckiWanda Balawender-Czynsz,2.02.5,KP,KP/295,,56.41,26,945
100,101,272,Eliza GardzińskaWojciech Gardziński,2.52.5,MA,MA/65,,56.33,25,940
101,102,31,Franciszek ZarzeckiPiotr Dobryszycki,15.012.0,DS,DS/437,,56.3,24,935
102,103,42,Marek KozłowskiMarek Bałdysz,4.013.0,DS,DS/437,,56.27,23,930
103,104,269,Leszek PęcherzewskiAleksander Marciniak,7.07.0,MA,MA/65,,56.23,23,925
104,105,74,Sławomir CieślewiczSzymon Rosowski,2.53.0,KP,KP/289,,56.23,22,920
105,106,265,Ireneusz SaturskiAleksander Jodko,2.51.0,MA,MA/384,,56.23,21,915
106,107,187,Andrzej KaźmierczakArkadiusz Gotwald,7.04.0,LD,LD/48,,56.05,20,910
107,108,321,Jerzy RybarskiPiotr Szewczyk,3.02.5,PKMP,PK/118,,56.02,20,905
108,109,510,Sławomir SzczełkunTadeusz Kuc,5.01.5,ZP,ZP/375,,56.0,20,900
109,110,519,Marian SiwyBogdan Świadek,11.02.5,ZP,ZP/430,,55.9,20,895
110,111,199,Wiesław PawelecDariusz Serafin,5.04.0,LU,LU/96,,55.89,20,890
111,112,436,Rafał JunikJolanta Ziętara,7.05.0,WP,WP/293,,55.88,20,885
